signal_name,source_file,source_series,currently_used,usage_location,purpose,output_impact,notes
"USDJPY_yen_carry_unwind","marketflow/backend/scripts/build_risk_v1.py","ohlcv_daily.JPY=X.close","Y","compute_track_c","Exogenous yen-carry shock sensor","MED","Track C only; changes Track C state and master_signal, not total_risk total"
"Oil_energy_shock","marketflow/backend/scripts/build_risk_v1.py","market_daily.oil","Y","compute_track_c","Energy/geopolitical shock sensor","MED","Present only as 1-day z-score in Track C; not integrated into 12-layer total_risk"
"GLD_safe_haven_vs_SPY","marketflow/backend/scripts/build_risk_v1.py","ohlcv_daily.GLD.close vs SPY close","Y","compute_track_c","Flight-to-safety confirmation","MED","Track C only"
"EFFR_WALCL_RRP_macro_liquidity","marketflow/backend/validation_engine.py; marketflow/backend/config/macro_policy_v1.json; marketflow/backend/jobs/build_macro_snapshot.py","FRED EFFR; WALCL; RRPONTSYD","N","ValidationEngine.compute_macro_series; macro snapshot only; not wired to build_risk_v1.py","Separate validation/macro-engine inputs for RPI/LPI/MPS","NONE","Present elsewhere in repo, but they do not move Standard Risk Engine outputs today"
"US10Y","marketflow/backend/scripts/update_market_daily.py; marketflow/backend/collectors/collect_fred.py; marketflow/backend/jobs/build_macro_snapshot.py","market_daily.us10y / FRED DGS10","N","not wired to build_risk_v1.py","Available rates data outside Standard engine","NONE","Clear gap: no 10Y level/change/momentum logic in Standard"
"US2Y","marketflow/backend/scripts/update_market_daily.py; marketflow/backend/collectors/collect_fred.py; marketflow/backend/jobs/build_macro_snapshot.py","market_daily.us2y / FRED DGS2","N","not wired to build_risk_v1.py","Available rates data outside Standard engine","NONE","Clear gap: no 2Y input in Standard"
"Yield_curve_10Y_2Y","marketflow/backend/jobs/build_macro_snapshot.py","DGS10 - DGS2 (fallback DGS10 - EFFR)","N","macro snapshot only; not wired to build_risk_v1.py","Macro yield-curve measure outside Standard engine","NONE","Treasury curve logic is absent from Standard even though the repo computes it elsewhere"
"CPI_release_handling","marketflow/backend/jobs/build_macro_snapshot.py; marketflow/backend/config/macro_policy_v1.json","FRED CPIAUCSL","N","macro snapshot real-rate proxy only; no build_risk_v1 consumer","Inflation series exists outside Standard only","NONE","No CPI release-date/event handling or direct Standard-engine wiring found"
"PPI_release_handling","not_found_in_standard_or_macro_pipeline","none","N","not found","Not implemented","NONE","No PPI series, threshold, or release logic found in searched Standard/macro backend paths"
"Jobless_claims_release_handling","not_found_in_standard_or_macro_pipeline","none","N","not found","Not implemented","NONE","No jobless claims / labor-release logic found in searched Standard/macro backend paths"
